#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
5,Precious Achiuwa,SF,203.2,110.2,25,New York Knicks,4,Memphis,2020 Rnd 1 Pick 20,Nigeria
12,Steven Adams,C,210.8,120.2,31,Houston Rockets,11,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,205.7,115.7,27,Miami Heat,7,Kentucky,2017 Rnd 1 Pick 14,United States
30,Ochai Agbaji,SF,195.6,97.5,24,Toronto Raptors,2,Kansas,2022 Rnd 1 Pick 14,United States
7,Santi Aldama,C,213.4,97.5,24,Memphis Grizzlies,3,Loyola (MD),2021 Rnd 1 Pick 30,Spain
23,Trey Alexander,SG,193.0,83.9,22,Denver Nuggets,0,Creighton,"2024 NBA Draft, Undrafted",United States
9,Nickeil Alexander-Walker,SG,195.6,93.0,26,Minnesota Timberwolves,5,Virginia Tech,2019 Rnd 1 Pick 17,Canada
8,Grayson Allen,SG,193.0,89.8,29,Phoenix Suns,6,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,205.7,110.2,26,Cleveland Cavaliers,7,Texas,2017 Rnd 1 Pick 22,United States
15,Jose Alvarado,G,182.9,81.2,26,New Orleans Pelicans,3,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico
20,Kyle Anderson,PF,205.7,104.3,31,Miami Heat,10,UCLA,2014 Rnd 1 Pick 30,United StatesChina
34,Giannis Antetokounmpo,F,210.8,110.2,30,Milwaukee Bucks,11,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria
50,Cole Anthony,PG,188.0,83.9,24,Orlando Magic,4,North Carolina,2020 Rnd 1 Pick 15,United States
8,OG Anunoby,SF,200.7,108.9,27,New York Knicks,7,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States
8,Deni Avdija,SG,205.7,108.9,24,Portland Trail Blazers,4,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
2,Deandre Ayton,C,213.4,114.3,26,Portland Trail Blazers,6,Arizona,2018 Rnd 1 Pick 1,Bahamas
35,Marvin Bagley III,PF,208.3,106.6,25,Memphis Grizzlies,6,Duke,2018 Rnd 1 Pick 2,United States
1,LaMelo Ball,G,200.7,81.6,23,Charlotte Hornets,4,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,198.1,86.2,27,Chicago Bulls,7,UCLA,2017 Rnd 1 Pick 2,United States
5,Paolo Banchero,C,208.3,113.4,22,Orlando Magic,2,Duke,2022 Rnd 1 Pick 1,United StatesItaly
22,Desmond Bane,SG,195.6,97.5,26,Memphis Grizzlies,4,TCU,2020 Rnd 1 Pick 30,United States
5,Dalano Banton,PG,203.2,92.1,25,Portland Trail Blazers,3,Nebraska,2021 Rnd 2 Pick 16,Canada
26,Dominick Barlow,F,203.2,97.5,22,Atlanta Hawks,2,Overtime Elite (Georgia),"2022 NBA Draft, Undrafted",United States
40,Harrison Barnes,SF,203.2,102.1,32,San Antonio Spurs,12,North Carolina,2012 Rnd 1 Pick 7,United States
4,Scottie Barnes,SF,200.7,107.5,23,Toronto Raptors,3,Florida State,2021 Rnd 1 Pick 4,United States
9,R.J. Barrett,SG,198.1,97.1,24,Toronto Raptors,5,Duke,2019 Rnd 1 Pick 3,Canada
28,Charles Bassey,PF,208.3,104.3,24,San Antonio Spurs,3,Western Kentucky,2021 Rnd 2 Pick 23,NigeriaUnited States
21,Emoni Bates,SF,203.2,77.1,21,Cleveland Cavaliers,1,Eastern Michigan,2023 Rnd 2 Pick 19,United States
77,Jamison Battle,SF,200.7,99.8,23,Toronto Raptors,0,Ohio State,"2024 NBA Draft, Undrafted",United States
33,Nicolas Batum,F,203.2,104.3,36,Los Angeles Clippers,16,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
7,Damion Baugh,SG,193.0,88.0,24,Charlotte Hornets,0,TCU,"2023 NBA Draft, Undrafted",United States
3,Bradley Beal,SG,193.0,93.9,31,Phoenix Suns,12,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,193.0,84.8,28,Detroit Pistons,8,Florida State,2016 Rnd 1 Pick 19,United States
0,MarJon Beauchamp,SG,200.7,90.3,24,Los Angeles Clippers,2,NBA G League Ignite,2022 Rnd 1 Pick 24,United States
4,Reece Beekman,PG,190.5,86.2,23,Brooklyn Nets,0,Virginia,"2024 NBA Draft, Undrafted",United States
14,Saddiq Bey,F,200.7,97.5,25,Washington Wizards,4,Villanova,2020 Rnd 1 Pick 19,United States
35,Goga Bitadze,C,208.3,113.4,25,Orlando Magic,5,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
18,Bismack Biyombo,PF,203.2,115.7,32,San Antonio Spurs,13,Baloncesto Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
0,Anthony Black,G,200.7,90.7,21,Orlando Magic,1,Arkansas,2023 Rnd 1 Pick 6,United States
10,Bogdan Bogdanovic,SG,195.6,102.1,32,Los Angeles Clippers,7,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
11,Bol Bol,C,221.0,99.8,25,Phoenix Suns,5,Oregon,2019 Rnd 2 Pick 14,United States
30,Adem Bona,C,208.3,106.6,21,Philadelphia Sixers,0,UCLA,2024 Rnd 2 Pick 11,NigeriaTurkey
1,Devin Booker,SG,198.1,93.4,28,Phoenix Suns,9,Kentucky,2015 Rnd 1 Pick 13,United States
11,"B.J. Boston, Jr.",SG,198.1,85.3,23,New Orleans Pelicans,3,Kentucky,2021 Rnd 2 Pick 21,United States
25,Chris Boucher,PF,205.7,90.7,32,Toronto Raptors,7,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada
22,Malaki Branham,GF,193.0,81.6,21,San Antonio Spurs,2,Ohio State,2022 Rnd 1 Pick 20,United States
0,Christian Braun,SF,198.1,99.8,23,Denver Nuggets,2,Kansas,2022 Rnd 1 Pick 21,United States
15,Jalen Bridges,F,203.2,102.1,24,Phoenix Suns,0,Baylor,"2024 NBA Draft, Undrafted",United States
25,Mikal Bridges,SG,198.1,94.8,28,New York Knicks,6,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,200.7,102.1,26,Charlotte Hornets,5,Michigan State,2018 Rnd 1 Pick 12,United States
15,Malcolm Brogdon,SG,193.0,103.9,32,Washington Wizards,8,Virginia,2016 Rnd 2 Pick 6,United States
9,Dillon Brooks,F,198.1,102.1,29,Houston Rockets,7,Oregon,2017 Rnd 2 Pick 15,Canada
0,"Keion Brooks, Jr.",SF,200.7,95.3,24,New Orleans Pelicans,0,Washington,"2024 NBA Draft, Undrafted",United States
7,Jaylen Brown,SF,198.1,101.2,28,Boston Celtics,8,California,2016 Rnd 1 Pick 3,United States
00,"Bruce Brown, Jr.",SG,193.0,91.6,28,New Orleans Pelicans,6,Miami (FL),2018 Rnd 2 Pick 12,United States
21,Kobe Brown,GF,200.7,113.4,25,Los Angeles Clippers,1,Missouri,2023 Rnd 1 Pick 30,United States
9,Moses Brown,C,218.4,117.0,25,Dallas Mavericks,5,UCLA,"2019 NBA Draft, Undrafted",United States
11,Jalen Brunson,PG,188.0,86.2,28,New York Knicks,6,Villanova,2018 Rnd 2 Pick 3,United States
3,Thomas Bryant,C,208.3,112.5,27,Indiana Pacers,7,Indiana,2017 Rnd 2 Pick 12,United States
4,Kobe Bufkin,G,193.0,88.5,21,Atlanta Hawks,1,Michigan,2023 Rnd 1 Pick 15,United States
18,Alec Burks,SG,195.6,97.1,33,Miami Heat,13,Colorado,2011 Rnd 1 Pick 12,United States
10,Jimmy Butler III,GF,200.7,104.3,35,Golden State Warriors,13,Marquette,2011 Rnd 1 Pick 30,United States
12,Jared Butler,PG,190.5,87.5,24,Philadelphia Sixers,3,Baylor,2021 Rnd 2 Pick 10,United States
14,Matas Buzelis,F,208.3,94.8,20,Chicago Bulls,0,NBA G League Ignite,2024 Rnd 1 Pick 11,United StatesLithuania
8,Jamal Cain,F,198.1,86.6,25,New Orleans Pelicans,2,Oakland,"2022 NBA Draft, Undrafted",United States
3,Kentavious Caldwell-Pope,SG,195.6,92.5,32,Orlando Magic,11,Georgia,2013 Rnd 1 Pick 8,United States
33,Toumani Camara,SF,200.7,103.9,24,Portland Trail Blazers,1,Dayton,2023 Rnd 2 Pick 22,Belgium
31,Vlatko Cancar,SF,203.2,107.0,27,Denver Nuggets,5,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
15,Clint Capela,PF,208.3,116.1,30,Atlanta Hawks,10,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
15,Branden Carlson,PF,213.4,99.8,25,Oklahoma City Thunder,0,Utah,"2024 NBA Draft, Undrafted",United States
8,Bub Carrington,G,193.0,86.2,19,Washington Wizards,0,Pittsburgh,2024 Rnd 1 Pick 14,United States
22,Devin Carter,G,188.0,88.5,22,Sacramento Kings,0,Providence,2024 Rnd 1 Pick 13,United States
5,Jevon Carter,PG,185.4,90.7,29,Chicago Bulls,6,West Virginia,2018 Rnd 2 Pick 2,United States
34,"Wendell Carter, Jr.",PF,208.3,122.5,25,Orlando Magic,6,Duke,2018 Rnd 1 Pick 7,United States
9,Alex Caruso,G,195.6,84.4,30,Oklahoma City Thunder,7,Texas A&M,"2016 NBA Draft, Undrafted",United States
5,Stephon Castle,G,198.1,97.5,20,San Antonio Spurs,0,UConn,2024 Rnd 1 Pick 4,United States
30,Julian Champagnie,F,200.7,98.4,23,San Antonio Spurs,2,St. John's,"2022 NBA Draft, Undrafted",United States
9,Justin Champagnie,F,198.1,93.4,23,Washington Wizards,3,Pittsburgh,"2021 NBA Draft, Undrafted",United States
22,Ulrich Chomche,PF,210.8,106.6,20,Toronto Raptors,0,NBA Academy Africa (Senegal),2024 Rnd 2 Pick 27,Cameroon
12,Cameron Christie,SG,198.1,86.2,19,Los Angeles Clippers,0,Minnesota,2024 Rnd 2 Pick 16,United States
00,Max Christie,F,195.6,86.2,22,Dallas Mavericks,2,Michigan State,2022 Rnd 2 Pick 5,United States
8,Josh Christopher,G,193.0,97.5,23,Miami Heat,3,Arizona State,2021 Rnd 1 Pick 24,United States
91,Sidy Cissoko,GF,198.1,90.7,20,Portland Trail Blazers,1,NBA G League Ignite,2023 Rnd 2 Pick 14,France
22,Jaylen Clark,G,193.0,93.0,23,Minnesota Timberwolves,1,UCLA,2023 Rnd 2 Pick 23,United States
15,Brandon Clarke,PF,203.2,97.5,28,Memphis Grizzlies,5,Gonzaga,2019 Rnd 1 Pick 21,Canada
00,Jordan Clarkson,G,190.5,88.0,32,Utah Jazz,10,Missouri,2014 Rnd 2 Pick 16,United StatesPhilippines
33,Nicolas Claxton,C,210.8,97.5,25,Brooklyn Nets,5,Georgia,2019 Rnd 2 Pick 1,United StatesU.S. Virgin Islands
23,Donovan Clingan,C,218.4,127.0,20,Portland Trail Blazers,0,UConn,2024 Rnd 1 Pick 7,United States
21,Noah Clowney,F,205.7,95.3,20,Brooklyn Nets,1,Alabama,2023 Rnd 1 Pick 21,United States
7,Amir Coffey,SF,200.7,95.3,27,Los Angeles Clippers,5,Minnesota,"2019 NBA Draft, Undrafted",United States
13,Isaiah Collier,G,190.5,95.3,20,Utah Jazz,0,USC,2024 Rnd 1 Pick 29,United States
20,John Collins,PF,205.7,102.5,27,Utah Jazz,7,Wake Forest,2017 Rnd 1 Pick 19,United States
99,Yuri Collins,G,182.9,86.2,23,Golden State Warriors,0,Saint Louis,"2023 NBA Draft, Undrafted",United States
12,Zach Collins,C,210.8,113.4,27,Chicago Bulls,7,Gonzaga,2017 Rnd 1 Pick 10,United States
10,Mike Conley,PG,182.9,79.4,37,Minnesota Timberwolves,17,Ohio State,2007 Rnd 1 Pick 4,United States
24,Pat Connaughton,SF,195.6,94.8,32,Milwaukee Bucks,9,Notre Dame,2015 Rnd 2 Pick 11,United States
0,Bilal Coulibaly,GF,203.2,88.5,20,Washington Wizards,1,Boulogne-Levallois (France),2023 Rnd 1 Pick 7,France
14,Ricky Council IV,G,198.1,93.9,23,Philadelphia Sixers,1,Arkansas,"2023 NBA Draft, Undrafted",United States
12,Torrey Craig,GF,195.6,100.2,34,Boston Celtics,7,USC Upstate,"2014 NBA Draft, Undrafted",United States
24,Isaiah Crawford,GF,198.1,99.8,23,Sacramento Kings,0,Louisiana Tech,"2024 NBA Draft, Undrafted",United States
99,Jae Crowder,SF,198.1,106.6,34,Sacramento Kings,12,Marquette,2012 Rnd 2 Pick 4,United States
2,Cade Cunningham,SF,198.1,99.8,23,Detroit Pistons,3,Oklahoma State,2021 Rnd 1 Pick 1,United States
30,Seth Curry,G,185.4,83.9,34,Charlotte Hornets,11,Duke,"2013 NBA Draft, Undrafted",United States
30,Stephen Curry,G,188.0,83.9,36,Golden State Warriors,15,Davidson,2009 Rnd 1 Pick 7,United States
23,Tristan Da Silva,F,203.2,98.4,23,Orlando Magic,0,Colorado,2024 Rnd 1 Pick 18,GermanyBrazil
4,Pacome Dadiet,SF,203.2,95.3,19,New York Knicks,0,Ratiopharm Ulm (Germany),2024 Rnd 1 Pick 25,France
5,Dyson Daniels,GF,200.7,90.3,21,Atlanta Hawks,2,NBA G League Ignite,2022 Rnd 1 Pick 8,Australia
3,N'Faly Dante,PF,210.8,104.3,23,Houston Rockets,0,Oregon,"2024 NBA Draft, Undrafted",Mali
3,Anthony Davis,PF,208.3,114.8,31,Dallas Mavericks,12,Kentucky,2012 Rnd 1 Pick 1,United States
20,J.D. Davison,F,185.4,88.5,22,Boston Celtics,2,Alabama,2022 Rnd 2 Pick 23,United States
10,DeMar DeRozan,GF,198.1,99.8,35,Sacramento Kings,15,USC,2009 Rnd 1 Pick 9,United States
10,RayJ Dennis,PG,188.0,81.6,23,Indiana Pacers,0,Baylor,"2024 NBA Draft, Undrafted",United States
0,Donte DiVincenzo,SG,193.0,92.1,28,Minnesota Timberwolves,6,Villanova,2018 Rnd 1 Pick 17,United States
14,Moussa Diabate,PF,205.7,95.3,23,Charlotte Hornets,2,Michigan,2022 Rnd 2 Pick 13,France
1,Gradey Dick,GF,198.1,90.7,21,Toronto Raptors,1,Kansas,2023 Rnd 1 Pick 13,United States
13,Ousmane Dieng,SG,205.7,83.9,21,Oklahoma City Thunder,2,New Zealand (New Zealand),2022 Rnd 1 Pick 11,France
4,Rob Dillingham,G,190.5,79.4,20,Minnesota Timberwolves,0,Kentucky,2024 Rnd 1 Pick 8,United States
26,Spencer Dinwiddie,PG,195.6,97.5,31,Dallas Mavericks,10,Colorado,2014 Rnd 2 Pick 8,United States
77,Luka Doncic,SF,198.1,104.3,25,Los Angeles Lakers,6,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
5,Luguentz Dort,PG,193.0,99.8,25,Oklahoma City Thunder,5,Arizona State,"2019 NBA Draft, Undrafted",Canada
11,Ayo Dosunmu,PG,195.6,90.7,25,Chicago Bulls,3,Illinois,2021 Rnd 2 Pick 8,United States
11,Jeff Dowtin,PG,190.5,80.3,27,Philadelphia Sixers,3,Rhode Island,"2020 NBA Draft, Undrafted",United States
1,Andre Drummond,C,210.8,126.6,31,Philadelphia Sixers,12,UConn,2012 Rnd 1 Pick 9,United States
88,Alex Ducas,G,200.7,99.8,24,Oklahoma City Thunder,0,Saint Mary's,"2024 NBA Draft, Undrafted",Australia
7,David Duke,SG,193.0,92.5,25,San Antonio Spurs,3,Providence,"2021 NBA Draft, Undrafted",United States
8,Kris Dunn,SG,190.5,93.0,30,Los Angeles Clippers,8,Providence,2016 Rnd 1 Pick 5,United States
0,Ryan Dunn,G,203.2,98.0,22,Phoenix Suns,0,Virginia,2024 Rnd 1 Pick 28,United States
35,Kevin Durant,SF,210.8,108.9,36,Phoenix Suns,17,Texas,2007 Rnd 1 Pick 2,United States
0,Jalen Duren,PF,208.3,113.4,21,Detroit Pistons,2,Memphis,2022 Rnd 1 Pick 13,United States
17,Tari Eason,F,203.2,97.5,23,Houston Rockets,2,LSU,2022 Rnd 1 Pick 17,United States
14,Zach Edey,C,223.5,138.3,22,Memphis Grizzlies,0,Purdue,2024 Rnd 1 Pick 9,Canada
5,Anthony Edwards,SF,193.0,102.1,23,Minnesota Timberwolves,4,Georgia,2020 Rnd 1 Pick 1,United States
14,Jesse Edwards,C,213.4,107.0,25,Minnesota Timberwolves,0,West Virginia,"2024 NBA Draft, Undrafted",Netherlands
19,Justin Edwards,SF,200.7,92.1,21,Philadelphia Sixers,0,Kentucky,"2024 NBA Draft, Undrafted",United States
20,Kessler Edwards,SG,200.7,92.1,24,Dallas Mavericks,3,Pepperdine,2021 Rnd 2 Pick 14,United States
23,Keon Ellis,F,193.0,79.4,25,Sacramento Kings,2,Alabama,"2022 NBA Draft, Undrafted",United States
21,Joel Embiid,C,213.4,127.0,30,Philadelphia Sixers,10,Kansas,2014 Rnd 1 Pick 3,CameroonUnited States
15,Drew Eubanks,C,208.3,111.1,28,Los Angeles Clippers,6,Oregon State,"2018 NBA Draft, Undrafted",United States
12,Tosan Evbuomwan,SF,200.7,98.4,24,Brooklyn Nets,1,Princeton,"2023 NBA Draft, Undrafted",England
0,Dante Exum,PG,195.6,97.1,29,Dallas Mavericks,8,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
22,Kyle Filipowski,C,210.8,113.4,21,Utah Jazz,0,Duke,2024 Rnd 2 Pick 2,United States
17,Dorian Finney-Smith,SF,200.7,99.8,31,Los Angeles Lakers,8,Florida,"2016 NBA Draft, Undrafted",United States
14,Adam Flagler,G,190.5,81.6,25,Oklahoma City Thunder,1,Baylor,"2023 NBA Draft, Undrafted",United States
9,Trentyn Flowers,F,205.7,83.9,20,Los Angeles Clippers,0,Adelaide (Australia),"2024 NBA Draft, Undrafted",United States
19,Simone Fontecchio,SF,200.7,94.8,29,Detroit Pistons,2,AX Armani Exchange Milan (Italy),"2017 NBA Draft, Undrafted",Italy
4,De'Aaron Fox,PG,190.5,83.9,27,San Antonio Spurs,7,Kentucky,2017 Rnd 1 Pick 5,United States
8,Enrique Freeman,F,200.7,99.8,24,Indiana Pacers,0,Akron,2024 Rnd 2 Pick 20,United States
20,Markelle Fultz,PG,193.0,94.8,26,Sacramento Kings,7,Washington,2017 Rnd 1 Pick 1,United States
12,Johnny Furphy,F,205.7,90.7,20,Indiana Pacers,0,Kansas,2024 Rnd 2 Pick 5,Australia
21,Daniel Gafford,C,208.3,120.2,26,Dallas Mavericks,5,Arkansas,2019 Rnd 2 Pick 8,United States
10,Darius Garland,G,185.4,87.1,25,Cleveland Cavaliers,5,Vanderbilt,2019 Rnd 1 Pick 5,United States
55,Luka Garza,C,208.3,110.2,26,Minnesota Timberwolves,3,Iowa,2021 Rnd 2 Pick 22,United StatesBosnia and Herzegovina
3,Keyonte George,G,193.0,83.9,21,Utah Jazz,1,Baylor,2023 Rnd 1 Pick 16,United States
18,Kyshawn George,F,203.2,90.7,21,Washington Wizards,0,Miami (FL),2024 Rnd 1 Pick 24,Switzerland
8,Paul George,GF,203.2,99.8,34,Philadelphia Sixers,14,Fresno State,2010 Rnd 1 Pick 10,United States
67,Taj Gibson,F,205.7,105.2,39,Charlotte Hornets,15,USC,2009 Rnd 1 Pick 26,United States
3,Josh Giddey,G,203.2,98.0,22,Chicago Bulls,3,Adelaide (Australia),2021 Rnd 1 Pick 6,Australia
2,Shai Gilgeous-Alexander,PG,198.1,88.5,26,Oklahoma City Thunder,6,Kentucky,2018 Rnd 1 Pick 11,Canada
16,Anthony Gill,PF,203.2,104.3,32,Washington Wizards,4,Virginia,"2016 NBA Draft, Undrafted",United States
12,Collin Gillespie,PG,185.4,88.5,26,Phoenix Suns,2,Villanova,"2022 NBA Draft, Undrafted",United States
27,Rudy Gobert,C,215.9,117.0,32,Minnesota Timberwolves,11,Cholet Basket (France),2013 Rnd 1 Pick 27,France
30,Jordan Goodwin,SG,195.6,99.8,26,Los Angeles Lakers,3,Saint Louis,"2021 NBA Draft, Undrafted",United States
32,Aaron Gordon,F,203.2,106.6,29,Denver Nuggets,10,Arizona,2014 Rnd 1 Pick 4,United States
23,Eric Gordon,G,190.5,97.5,36,Philadelphia Sixers,16,Indiana,2008 Rnd 1 Pick 7,United StatesBahamas
9,Jerami Grant,F,200.7,95.3,30,Portland Trail Blazers,10,Syracuse,2014 Rnd 2 Pick 9,United States
20,A.J. Green,PG,193.0,86.2,25,Milwaukee Bucks,2,Northern Iowa,"2022 NBA Draft, Undrafted",United States
23,Draymond Green,F,198.1,104.3,34,Golden State Warriors,12,Michigan State,2012 Rnd 2 Pick 5,United States
4,Jalen Green,SG,193.0,84.4,23,Houston Rockets,3,NBA G League Ignite,2021 Rnd 1 Pick 2,United States
32,Jeff Green,F,203.2,106.6,38,Houston Rockets,16,Georgetown,2007 Rnd 1 Pick 5,United States
10,Josh Green,SG,195.6,90.7,24,Charlotte Hornets,4,Arizona,2020 Rnd 1 Pick 18,United StatesAustralia
25,Quentin Grimes,SG,193.0,95.3,24,Philadelphia Sixers,3,Houston,2021 Rnd 1 Pick 25,United States
18,Mouhamed Gueye,F,208.3,95.3,22,Atlanta Hawks,1,Washington State,2023 Rnd 2 Pick 9,Senegal
28,Rui Hachimura,F,203.2,104.3,27,Los Angeles Lakers,5,Gonzaga,2019 Rnd 1 Pick 9,Japan
